place,placeLabel,gnd,iccd,image
http://www.wikidata.org/entity/Q1631593,Basilica di Sant'Andrea della Valle,4458807-0,,http://commons.wikimedia.org/wiki/Special:FilePath/Sant%20Andrea%20della%20Valle%20Roma%20adjusted.JPG
http://www.wikidata.org/entity/Q1137391,Basilica di Santa Maria in Trastevere,4424041-7,15478,http://commons.wikimedia.org/wiki/Special:FilePath/Bas%C3%ADlica%20de%20Santa%20Mar%C3%ADa%20en%20Trastevere%2C%20Roma%2C%20Italia%2C%202022-09-16%2C%20DD%2020.jpg
http://www.wikidata.org/entity/Q99309,Pantheon,4115786-2,,http://commons.wikimedia.org/wiki/Special:FilePath/Rome%20Pantheon%20front.jpg
http://www.wikidata.org/entity/Q2031901,Santa Maria in Vallicella,4459147-0,15481,http://commons.wikimedia.org/wiki/Special:FilePath/Parrocchia%20Santa%20Maria%20in%20Vallicella%20-%20panoramio.jpg
http://www.wikidata.org/entity/Q2031901,Santa Maria in Vallicella,4459147-0,15481,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Maria%20in%20Vallicella%20Facade%20a%20Roma.jpg
http://www.wikidata.org/entity/Q1631620,basilica dei Santi Ambrogio e Carlo al Corso,4779215-2,,http://commons.wikimedia.org/wiki/Special:FilePath/Via%20del%20Corso%20-%20San%20Carlo%20al%20Corso%20-%20panoramio.jpg
http://www.wikidata.org/entity/Q1076439,basilica dei Santi Bonifacio e Alessio,4505861-1,,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20dei%20Santi%20Bonifacio%20e%20Alessio.jpg
http://www.wikidata.org/entity/Q675513,basilica dei Santi Cosma e Damiano,4505889-1,,http://commons.wikimedia.org/wiki/Special:FilePath/Roma-basilica%20cosma%20e%20damiano.jpg
http://www.wikidata.org/entity/Q1586946,basilica dei Santi Giovanni e Paolo,4576683-6,15408,http://commons.wikimedia.org/wiki/Special:FilePath/Celio%20-%20santi%20Giovanni%20e%20Paolo%201782.JPG
http://www.wikidata.org/entity/Q1536044,basilica dei Santi Quattro Coronati,4541489-0,,http://commons.wikimedia.org/wiki/Special:FilePath/Santi%20Quattro%200511-13%20cortile%20interno.JPG
http://www.wikidata.org/entity/Q1663278,basilica dei Santi Silvestro e Martino ai Monti,4740877-7,15484,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Martino%20ai%20Monti%20-%20Roma%20-%20facciata%20-%20Panairjdde.jpg
http://www.wikidata.org/entity/Q1515300,basilica dei Santi XII Apostoli,4365697-3,15354,http://commons.wikimedia.org/wiki/Special:FilePath/Basilique%20des%20Saints-Ap%C3%B4tres.JPG
http://www.wikidata.org/entity/Q1755418,basilica di San Bartolomeo all'Isola,4618317-6,,http://commons.wikimedia.org/wiki/Special:FilePath/Roma-san%20bartolomeo%20all%27isola.jpg
http://www.wikidata.org/entity/Q385910,basilica di San Clemente al Laterano,4215847-3,,http://commons.wikimedia.org/wiki/Special:FilePath/Roma%20San%20Clemente%20BW%201.JPG
http://www.wikidata.org/entity/Q1631638,basilica di San Crisogono,4461207-2,15380,http://commons.wikimedia.org/wiki/Special:FilePath/Trastevere%20-%20san%20Crisogono%2001424.JPG
http://www.wikidata.org/entity/Q1629700,basilica di San Giovanni Battista dei Fiorentini,4371131-5,15405,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Giovanni%20dei%20Fiorentini%20Rome.jpg
http://www.wikidata.org/entity/Q84090,basilica di San Giovanni in Laterano,4124075-3,15224,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Giovanni%20in%20Laterano%202021.jpg
http://www.wikidata.org/entity/Q1886229,basilica di San Lorenzo in Damaso,4740745-1,15423,http://commons.wikimedia.org/wiki/Special:FilePath/Roma-sanlorenzoindamaso3.jpg
http://www.wikidata.org/entity/Q1515316,basilica di San Lorenzo in Lucina,4357179-7,15425,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Lorenzo%20in%20Lucina%20-%20Rome%202016%20%282%29.jpg
http://www.wikidata.org/entity/Q1479910,basilica di San Marco Evangelista al Campidoglio,4765082-5,15228,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20di%20San%20Marco%20Evangelista%20al%20Campidoglio%2002.jpg
http://www.wikidata.org/entity/Q2145580,basilica di San Nicola in Carcere,4501837-6,,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Nicola%20in%20Carcere%20front.jpg
http://www.wikidata.org/entity/Q1515307,basilica di San Pancrazio,4505829-5,15229,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Pancrazio%20-%20facciata%201537.JPG
http://www.wikidata.org/entity/Q12512,basilica di San Pietro,4076822-3,,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20di%20San%20Pietro%20in%20Vaticano%20September%202015-1a.jpg
http://www.wikidata.org/entity/Q542070,basilica di San Pietro in Vincoli,4230691-7,15508,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Pietro%20in%20Vincoli%2C%20Rome.jpg
http://www.wikidata.org/entity/Q1579529,basilica di San Vitale,4672701-2,,http://commons.wikimedia.org/wiki/Special:FilePath/S%20Vitale%20Roma.jpg
http://www.wikidata.org/entity/Q1424095,basilica di Sant'Agostino in Campo Marzio,4505864-7,,http://commons.wikimedia.org/wiki/Special:FilePath/Sant%20Agostino%20Fassade.jpg
http://www.wikidata.org/entity/Q1229125,basilica di Sant'Anastasia al Palatino,4599677-5,,http://commons.wikimedia.org/wiki/Special:FilePath/Sant%27Anastasia%20al%20Palatino.jpg
http://www.wikidata.org/entity/Q1809794,basilica di Sant'Andrea delle Fratte,7599685-6,15345,http://commons.wikimedia.org/wiki/Special:FilePath/Colonna%20-%20via%20Capolecase%20e%20s%20andrea%20delle%20Fratte.JPG
http://www.wikidata.org/entity/Q2301521,basilica di Sant'Apollinare,4618243-3,,http://commons.wikimedia.org/wiki/Special:FilePath/Ponte%20-%20s%20Apollinare%20restaurato%201060037.JPG
http://www.wikidata.org/entity/Q1479873,basilica di Santa Cecilia in Trastevere,4241348-5,15373,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20cecilia%20in%20trastevere%2C%20esterno%2002.jpg
http://www.wikidata.org/entity/Q1091640,basilica di Santa Francesca Romana,4255225-4,15466,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Francesca%20Romana%20Forum%20Romanum%20Rome.jpg
http://www.wikidata.org/entity/Q186282,basilica di Santa Maria Maggiore,4228647-5,15230,http://commons.wikimedia.org/wiki/Special:FilePath/Roma%20-%202016-05-23%20-%20Basilica%20di%20Santa%20Maria%20Maggiore%20-%202957.jpg
http://www.wikidata.org/entity/Q569253,basilica di Santa Maria degli Angeli e dei Martiri,4359179-6,15437,http://commons.wikimedia.org/wiki/Special:FilePath/Basilica%20di%20Santa%20Maria%20degli%20Angeli%20e%20dei%20Martiri%20-%2022-11-2019.jpg
http://www.wikidata.org/entity/Q869513,basilica di Santa Maria del Popolo,4310297-9,15471,http://commons.wikimedia.org/wiki/Special:FilePath/Church%20St%20Maria%20del%20popolo%201.jpg
http://www.wikidata.org/entity/Q318660,basilica di Santa Maria in Aracoeli,1086875974,15440,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Maria%20in%20Aracoeli%2001.JPG
http://www.wikidata.org/entity/Q318660,basilica di Santa Maria in Aracoeli,4305824-3,15440,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Maria%20in%20Aracoeli%2001.JPG
http://www.wikidata.org/entity/Q609293,basilica di Santa Maria in Cosmedin,4199099-7,,http://commons.wikimedia.org/wiki/Special:FilePath/Roma%2C%20basilica%20di%20Santa%20Maria%20in%20Cosmedin%20-%20Facciata.jpg
http://www.wikidata.org/entity/Q2060055,basilica di Santa Maria in Domnica,4540686-8,15448,http://commons.wikimedia.org/wiki/Special:FilePath/248SMariaInDomnica.JPG
http://www.wikidata.org/entity/Q1809115,basilica di Santa Maria in Montesanto,4679497-9,15463,http://commons.wikimedia.org/wiki/Special:FilePath/Roma-piazza%20del%20popolo.jpg
http://www.wikidata.org/entity/Q846559,basilica di Santa Maria in Via Lata,4199098-5,15482,http://commons.wikimedia.org/wiki/Special:FilePath/Rom%2C%20die%20Kirche%20Santa%20Maria%20in%20Via%20Lata.JPG
http://www.wikidata.org/entity/Q823685,basilica di Santa Maria sopra Minerva,4199104-7,15456,http://commons.wikimedia.org/wiki/Special:FilePath/Roma-Santa%20Maria%20sopra%20Minerva.jpg
http://www.wikidata.org/entity/Q733890,basilica di Santa Prassede,4249269-5,,http://commons.wikimedia.org/wiki/Special:FilePath/Interior%20of%20Basilica%20di%20Santa%20Prassede%2C%20Rome.JPG
http://www.wikidata.org/entity/Q1526417,basilica di Santa Pudenziana,4357118-9,,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Pudenziana%20%28Rome%29.jpg
http://www.wikidata.org/entity/Q592244,basilica di Santa Sabina,4470616-9,,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Sabina3.jpg
http://www.wikidata.org/entity/Q919456,basilica di Santo Stefano Rotondo al Celio,4302056-2,15527,http://commons.wikimedia.org/wiki/Special:FilePath/Celio%20-%20santo%20Stefano%20Rotondo%20-%20interno%20in%20restauro%2001533-4.JPG
http://www.wikidata.org/entity/Q3657331,cappella Bufalini,7547225-9,,http://commons.wikimedia.org/wiki/Special:FilePath/Santa%20Maria%20in%20Aracoeli%20Rome%20first%20chapel%20right%20side.jpg
http://www.wikidata.org/entity/Q769964,cappella Carafa,4199107-2,,http://commons.wikimedia.org/wiki/Special:FilePath/Cappella%20di%20filippo%20strozzi%2001.JPG
http://www.wikidata.org/entity/Q1034868,cappella Paolina,4552938-3,,http://commons.wikimedia.org/wiki/Special:FilePath/Cappella%20paolina%2C%2002%2C0.jpg
